timestamp,event_type,x_in_window,y_in_window,btn,key,scroll_dx,scroll_dy
12429,move,542,345,,,0,0
12451,move,543,345,,,0,0
12471,move,543,344,,,0,0
12502,move,544,344,,,0,0
12572,move,544,344,,,0,0
12596,move,545,344,,,0,0
12609,move,546,344,,,0,0
12619,move,549,345,,,0,0
12630,move,553,347,,,0,0
12640,move,558,350,,,0,0
12651,move,565,352,,,0,0
12661,move,571,354,,,0,0
12672,move,576,356,,,0,0
12682,move,579,356,,,0,0
12694,move,583,357,,,0,0
12705,move,586,357,,,0,0
12716,move,591,358,,,0,0
12726,move,596,358,,,0,0
12736,move,600,358,,,0,0
12747,move,604,357,,,0,0
12760,move,607,356,,,0,0
12772,move,610,354,,,0,0
12783,move,613,352,,,0,0
12794,move,616,350,,,0,0
12805,move,618,347,,,0,0
12815,move,622,343,,,0,0
12826,move,626,339,,,0,0
12836,move,629,334,,,0,0
12846,move,632,329,,,0,0
12857,move,635,323,,,0,0
12867,move,638,319,,,0,0
12877,move,641,314,,,0,0
12888,move,646,307,,,0,0
12898,move,651,298,,,0,0
12909,move,656,289,,,0,0
12920,move,660,282,,,0,0
12930,move,665,277,,,0,0
12941,move,669,272,,,0,0
12951,move,674,265,,,0,0
12961,move,678,260,,,0,0
12972,move,685,253,,,0,0
12982,move,689,249,,,0,0
12993,move,696,243,,,0,0
13005,move,702,239,,,0,0
13001,click,700,240,left,,0,0
12451,key_press,0,0,,d,0,0
12675,key_press,0,0,,w,0,0
12915,key_press,0,0,,d,0,0
12499,key_release,0,0,,a,0,0
12739,key_release,0,0,,d,0,0
12947,key_release,0,0,,w,0,0
13015,move,709,236,,,0,0
13026,move,714,234,,,0,0
13037,move,718,231,,,0,0
13048,move,723,229,,,0,0
13059,move,728,228,,,0,0
13070,move,733,226,,,0,0
13080,move,737,224,,,0,0
13090,move,743,222,,,0,0
13101,move,750,220,,,0,0
13111,move,762,217,,,0,0
13121,move,775,213,,,0,0
13131,move,788,212,,,0,0
13142,move,803,210,,,0,0
13153,move,821,208,,,0,0
13165,move,831,206,,,0,0
13175,move,847,205,,,0,0
13186,move,857,204,,,0,0
13197,move,863,204,,,0,0
13207,move,867,204,,,0,0
13219,move,870,204,,,0,0
13230,move,871,204,,,0,0
13241,move,872,204,,,0,0
13254,move,873,204,,,0,0
13267,move,875,205,,,0,0
13278,move,878,206,,,0,0
13289,move,879,206,,,0,0
13300,move,881,207,,,0,0
13314,move,882,208,,,0,0
13324,move,884,208,,,0,0
13335,move,886,211,,,0,0
13346,move,892,216,,,0,0
13356,move,900,223,,,0,0
13367,move,909,230,,,0,0
13378,move,918,238,,,0,0
13389,move,925,243,,,0,0
13399,move,931,248,,,0,0
13409,move,937,252,,,0,0
13420,move,944,258,,,0,0
13431,move,954,267,,,0,0
13442,move,968,279,,,0,0
13453,move,980,290,,,0,0
13463,move,990,299,,,0,0
13474,move,998,306,,,0,0
13484,move,1005,313,,,0,0
13494,move,1011,317,,,0,0
13504,move,1017,321,,,0,0
13514,move,1022,324,,,0,0
13524,move,1024,326,,,0,0
13542,move,1027,327,,,0,0
13567,move,1028,327,,,0,0
13598,move,1028,327,,,0,0
13609,move,1030,323,,,0,0
13268,click,875,205,left,,0,0
13235,key_press,0,0,,s,0,0
13587,key_release,0,0,,s,0,0
13620,move,1033,315,,,0,0
13631,move,1038,300,,,0,0
13642,move,1043,281,,,0,0
13653,move,1045,264,,,0,0
13663,move,1048,250,,,0,0
13674,move,1050,239,,,0,0
13684,move,1050,233,,,0,0
13695,move,1050,229,,,0,0
13706,move,1050,226,,,0,0
13723,move,1050,225,,,0,0
13740,move,1050,225,,,0,0
13837,move,1050,225,,,0,0
13885,move,1050,225,,,0,0
13919,move,1050,225,,,0,0
13938,move,1050,225,,,0,0
13949,move,1048,226,,,0,0
13959,move,1043,227,,,0,0
13970,move,1037,230,,,0,0
13981,move,1032,232,,,0,0
13992,move,1029,234,,,0,0
14003,move,1027,235,,,0,0
14014,move,1025,235,,,0,0
14024,move,1024,236,,,0,0
14034,move,1023,237,,,0,0
14045,move,1023,237,,,0,0
14057,move,1022,238,,,0,0
14069,move,1021,239,,,0,0
14080,move,1020,240,,,0,0
14091,move,1019,240,,,0,0
14101,move,1017,241,,,0,0
14113,move,1015,243,,,0,0
14124,move,1012,245,,,0,0
14134,move,1009,249,,,0,0
14145,move,1003,254,,,0,0
14156,move,996,262,,,0,0
14166,move,991,268,,,0,0
14176,move,986,276,,,0,0
14187,move,982,283,,,0,0
14197,move,979,289,,,0,0
14208,move,978,292,,,0,0
13719,click,1050,226,left,,0,0
14184,click,983,281,left,,0,0
13827,key_press,0,0,,w,0,0
14131,key_press,0,0,,s,0,0
13955,key_release,0,0,,w,0,0
14218,move,977,294,,,0,0
14228,move,977,295,,,0,0
14287,move,977,296,,,0,0
14300,move,977,296,,,0,0
14311,move,978,297,,,0,0
14322,move,980,301,,,0,0
14333,move,984,305,,,0,0
14343,move,989,309,,,0,0
14354,move,996,314,,,0,0
14366,move,1001,317,,,0,0
14377,move,1010,321,,,0,0
14388,move,1017,324,,,0,0
14398,move,1026,329,,,0,0
14408,move,1034,332,,,0,0
14419,move,1041,337,,,0,0
14429,move,1048,340,,,0,0
14441,move,1053,343,,,0,0
14451,move,1057,345,,,0,0
14461,move,1060,347,,,0,0
14472,move,1063,348,,,0,0
14483,move,1066,350,,,0,0
14493,move,1070,352,,,0,0
14504,move,1076,355,,,0,0
14514,move,1084,358,,,0,0
14524,move,1096,363,,,0,0
14535,move,1113,369,,,0,0
14546,move,1134,376,,,0,0
14556,move,1156,386,,,0,0
14567,move,1176,397,,,0,0
14578,move,1187,408,,,0,0
14588,move,1199,418,,,0,0
14599,move,1212,430,,,0,0
14610,move,1228,446,,,0,0
14621,move,1243,462,,,0,0
14631,move,1257,477,,,0,0
14642,move,1270,492,,,0,0
14653,move,1282,504,,,0,0
14663,move,1289,511,,,0,0
